FID,Autonum,Ref_CODE,CONTINENT,REGION,WHO_region,ISO_CTRY,ADM0_NAME,ADM0_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME1,ADM2_NAME2,ADM2_CODE1,ADM2_CODE2,District,ADM_Level,Site_name,Name_Posit,GEORELIABI,Urbanizat,Latitude,Longitude,Cartograph,PoT,Coverage,Trial_Cont,Period,Year_start,Year_end,month,N_rounds,Method_0,Method_1,Method_2,BS_smear,BS_ICT,BS_other,Day_Night,LF_species,Sex,Age_Range,Age_start,Age_end,pop_Mf,np_Mf,prev_Mf,density,mfload_met,popMf_Filt,npMf_Filt,prev_Filt,pop_ICT,np_ICT,prev_ICT,pop_others,np_others,prev_other,prev_high,pop_hydroc,np_hydroc,pop_lymph,np_lymph,pop_clinic,np_clinic,Source_dat,Source_d_1,Source_d_2,Source_d_3,Reference,Notes,Notes_JC,Status,Reviewed,Approval,Occurrence,Source_d_4,Yr_Start,Yr_End,Poverty,Temp,AnnRain,AridityInd,LANDCOV,lnLF,landcov14,landcov2030,landcov4060,landcov110120130,landcov170
1,3088,LF3088NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Taraba,2239,Ardo-Kola,Ardo-Kola,NGP035006000000000000,NGP035006000000000000,Health,Location,Sagarda,Sagarda,1,Rural,8.8,10.9,AFRO,Preintervention,No,No,before 2000,1989,1989,October/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,,Wuchereria bancrofti,M/F,Adults/Children,3,99,233,25,0.107,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,0,0,0,0,NGA0006LF,"Akogun, 1992",Journal,1992,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0006LF,1989,1989,0.7885985374,27.7,1058,5481,20,-2.234926445,0,1,0,0,0
2,3089,LF3089NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Taraba,2239,Gassol,Gassol,NGP035002000000000000,NGP035002000000000000,Health,Location,Timtim,Timtim,1,Rural,8.733333,10.866667,AFRO,Preintervention,No,No,before 2000,1989,1989,October/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,,Wuchereria bancrofti,M/F,Adults/Children,3,99,425,47,0.111,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,NGA0006LF,"Akogun, 1992",Journal,1992,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0006LF,1989,1989,0.8023017049,27.6,1071,5569,20,-2.198225078,0,1,0,0,0
3,3090,LF3090NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Taraba,2239,Ardo-Kola,Ardo-Kola,NGP035006000000000000,NGP035006000000000000,Health,Location,Namnai,Namnai,1,Rural,8.766667,10.95,AFRO,Preintervention,No,No,before 2000,1989,1989,October/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,,Wuchereria bancrofti,M/F,Adults/Children,3,99,369,30,0.081,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,0,0,0,0,NGA0006LF,"Akogun, 1992",Journal,1992,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0006LF,1989,1989,0.7613419294,27.6,1067,5528,20,-2.513306124,0,1,0,0,0
4,3091,LF3091NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Taraba,2239,Gassol,Gassol,NGP035002000000000000,NGP035002000000000000,Health,Location,Badekwoshi,Badekwoshi Wurkum,2,Rural,8.716667,10.85,AFRO,Preintervention,No,No,before 2000,1989,1989,October/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,,Wuchereria bancrofti,M/F,Adults/Children,3,99,354,39,0.11,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,NGA0006LF,"Akogun, 1992",Journal,1992,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Badekwoshi Wurkum,OK,Yes,Yes,1,NGA0006LF,1989,1989,0.8023017049,27.6,1072,5571,20,-2.207274913,0,1,0,0,0
5,3092,LF3092NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Gombe,65704,Nafada,Nafada,NGP016002000000000000,NGP016002000000000000,Health,Location,Garin Abba,Garin Abba,1,Rural,10.9,11.283333,AFRO,Preintervention,No,No,before 2000,1989,1989,October/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,,Wuchereria bancrofti,M/F,Adults/Children,3,99,116,6,0.052,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,NGA0006LF,"Akogun, 1992",Journal,1992,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0006LF,1989,1989,0.3015388846,25.1,832,4282,14,-2.95651156,1,0,0,0,0
6,3093,LF3093NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Taraba,2239,Bali,Bali,NGP035005000000000000,NGP035005000000000000,Health,Location,Garin Magoro,Garin Mbororo,4,Rural,8.216667,10.7,AFRO,Preintervention,No,No,before 2000,1989,1989,October/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,,Wuchereria bancrofti,M/F,Adults/Children,3,99,152,29,0.191,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0,0,0,0,0,NGA0006LF,"Akogun, 1992",Journal,1992,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Garin Mbororo,OK,Yes,Yes,1,NGA0006LF,1989,1989,0.5137229562,27.1,1176,6288,130,-1.655481851,0,0,0,1,0
7,3094,LF3094NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Taraba,2239,Gassol,Gassol,NGP035002000000000000,NGP035002000000000000,Health,Location,Mutum Biyu,Mutum Biyu,1,Rural,8.633333,10.766667,AFRO,Preintervention,No,No,before 2000,1989,1989,October/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,,Wuchereria bancrofti,M/F,Adults/Children,3,99,459,27,0.059,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0,NGA0006LF,"Akogun, 1992",Journal,1992,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0006LF,1989,1989,0.7483080029,27.6,1085,5659,20,-2.830217835,0,1,0,0,0
8,3095,LF3095NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Taraba,2239,Gassol,Gassol,NGP035002000000000000,NGP035002000000000000,Health,Location,Shika,Shika,1,Rural,8.633333,10.583333,AFRO,Preintervention,No,No,before 2000,1989,1989,October/December,0,Mapping Survey,Parasitological,Blood smear,20,0,0,,Wuchereria bancrofti,M/F,Adults/Children,3,99,172,47,0.273,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0,NGA0006LF,"Akogun, 1992",Journal,1992,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0006LF,1989,1989,0.6869856119,27.7,1078,5632,20,-1.298283484,0,1,0,0,0
9,3096,LF3096NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Misau,Misau,NGP005004000000000000,NGP005004000000000000,Health,Location,Fulantaran,Fulatan,2,,11.4709,10.4421,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,70,1,0.014,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,NGA0007LF,"Anosike & Onwuliri, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Fulatan,OK,Yes,Yes,1,NGA0007LF,1990,1991,0.2828813195,25.7,793,3931,30,-4.268697949,0,1,0,0,0
10,3097,LF3097NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Borno,2216,Maiduguri,Maiduguri,NGP008006000000000000,NGP008006000000000000,Health,Location,Rigan Rafin Bajere,Bajeri,3,,11.814592,13.081975,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,108,1,0.009,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,NGA0007LF,"Anosike & Onwuliri, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Bajeri,OK,Yes,Yes,1,NGA0007LF,1990,1991,0.0832647681,25.6,620,3087,30,-4.710530702,0,1,0,0,0
